SN,System,Dataset,LR_MAPE,LR_MAE,LR_RMSE,DR_MAPE,DR_MAE,DR_RMSE
1,batlik,corona.csv,0.12,0.18,0.26,0.4,0.55,0.66
2,batlik,cranium.csv,0.03,0.07,0.1,0.62,1.2,1.39
3,batlik,cubus.csv,0.04,0.24,0.34,0.58,3.4,3.97
4,batlik,flame.csv,0.03,0.06,0.08,0.42,0.75,0.91
5,batlik,france.csv,0.04,0.15,0.2,0.61,2.12,2.49
6,batlik,frisco.csv,0.05,0.25,0.34,0.6,2.73,3.17
7,batlik,jelly.csv,0.17,0.32,0.44,0.43,0.76,0.93
8,batlik,karte.csv,0.15,1.49,1.9,0.51,5.0,5.9
9,batlik,mandelbrot.csv,0.05,0.06,0.09,0.4,0.5,0.6
10,batlik,strawberry.csv,0.05,0.09,0.13,0.6,0.93,1.06
11,batlik,village.csv,0.57,1.79,2.44,0.55,2.22,3.9
12,dconvert,jpeg-large.csv,0.13,0.42,0.57,0.1,0.36,0.65
13,dconvert,jpeg-medium.csv,0.1,0.18,0.24,0.08,0.15,0.28
14,dconvert,jpeg-small.csv,0.04,0.02,0.02,0.03,0.02,0.02
15,dconvert,png-large.csv,0.09,0.22,0.28,0.07,0.19,0.32
16,dconvert,png-medium.csv,0.04,0.02,0.03,0.03,0.02,0.03
17,dconvert,png-small.csv,0.03,0.01,0.02,0.03,0.01,0.02
18,dconvert,psd-large.csv,0.01,0.53,0.85,0.01,0.4,0.89
19,dconvert,psd-medium.csv,0.05,0.07,0.09,0.05,0.06,0.1
20,dconvert,psd-small.csv,0.04,0.02,0.02,0.04,0.02,0.02
21,dconvert,svg-large.csv,0.02,0.03,0.04,0.02,0.03,0.04
22,dconvert,svg-medium.csv,0.02,0.03,0.03,0.02,0.03,0.03
23,dconvert,svg-small.csv,0.04,0.02,0.03,0.04,0.02,0.03
24,h2,smallbank-1.csv,0.06,1117.19,1342.34,0.06,1114.45,1349.61
25,h2,smallbank-10.csv,0.05,633.98,764.34,0.04,626.87,777.79
26,h2,tpcc-2.csv,0.04,30.38,37.51,0.04,30.33,37.72
27,h2,tpcc-8.csv,0.2,109.56,165.1,0.22,97.07,176.3
28,h2,voter-16.csv,0.08,2429.21,2708.25,0.07,2391.7,2852.71
29,h2,voter-2.csv,0.08,2523.0,2803.66,0.08,2505.63,2955.37
30,h2,ycsb-2400.csv,0.09,1261.9,1548.1,0.08,1154.96,1687.08
31,h2,ycsb-600.csv,0.08,1686.9,2096.59,0.08,1617.6,2183.8
32,jump3r,beethoven.wav.csv,0.25,2.24,2.89,0.24,2.19,2.93
33,jump3r,dual-channel.wav.csv,0.23,0.6,0.83,0.21,0.59,0.85
34,jump3r,helix.wav.csv,0.24,1.06,1.45,0.23,1.04,1.48
35,jump3r,single-channel.wav.csv,0.19,0.32,0.42,0.18,0.32,0.43
36,jump3r,speech.wav.csv,0.2,0.8,1.01,0.18,0.78,1.03
37,jump3r,sweep.wav.csv,0.12,0.07,0.09,0.11,0.07,0.09
38,kanzi,ambivert.csv,1.4,16.97,27.66,1.24,24.1,45.26
39,kanzi,artificl.csv,0.46,0.2,0.29,0.68,0.28,0.42
40,kanzi,deepfield.csv,17.67,18.79,29.05,1.33,21.31,44.24
41,kanzi,enwik8.csv,2.59,39.53,62.36,1.16,41.57,89.85
42,kanzi,fannie_mae_500k.csv,4.06,34.79,53.9,1.12,29.88,72.52
43,kanzi,large.csv,1.39,4.38,6.89,0.97,5.06,10.22
44,kanzi,misc.csv,0.46,0.4,0.61,0.68,0.58,0.96
45,kanzi,silesia.csv,2.87,82.26,129.55,1.16,84.39,185.2
46,kanzi,vmlinux.csv,28.81,162.76,220.94,1.03,116.97,307.49
47,lrzip,ambivert.wav.tar.csv,1.49,15.16,25.55,0.47,11.15,25.91
48,lrzip,artificl.tar.csv,14.09,1.28,1.44,13.8,1.24,1.48
49,lrzip,deepfield.tar.csv,1.47,14.66,24.62,0.47,10.91,25.04
50,lrzip,enwik8.tar.csv,1.04,19.54,29.14,0.36,14.39,30.06
51,lrzip,fannie_mae_500k.tar.csv,0.12,5.46,8.14,0.09,4.48,8.15
52,lrzip,large.tar.csv,0.98,2.35,3.11,0.78,2.16,3.02
53,lrzip,misc.tar.csv,2.73,1.28,1.47,2.67,1.25,1.51
54,lrzip,silesia.tar.csv,1.18,33.22,50.49,0.38,24.76,52.43
55,lrzip,uiq-32.bin.csv,1.91,56.16,85.19,0.47,41.48,89.79
56,lrzip,uiq2-16.bin.csv,1.73,30.54,46.2,0.45,22.02,47.92
57,lrzip,uiq2-4.bin.csv,1.19,7.52,11.92,0.52,5.84,12.02
58,lrzip,uiq2-8.bin.csv,1.42,15.27,23.35,0.45,11.17,23.93
59,lrzip,vmlinux-5.10.tar.csv,0.78,4.85,7.38,0.45,3.97,7.33
60,x264,blue_sky_1080p25_short.y4m.csv,0.79,3.13,4.06,0.53,2.89,4.51
61,x264,Johnny_1280x720_60_short.y4m.csv,0.9,2.57,3.35,0.57,2.34,3.78
62,x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.79,8.7,11.26,0.54,8.03,12.5
63,x264,pedestrian_area_1080p25_short.y4m.csv,0.72,3.56,4.61,0.46,3.23,5.22
64,x264,riverbed_1080p25_short.y4m.csv,0.66,6.64,8.78,0.4,5.93,10.08
65,x264,sd_bridge_close_cif_short.y4m.csv,0.52,0.14,0.18,0.39,0.13,0.19
66,x264,sd_city_4cif_short.y4m.csv,0.83,1.48,1.9,0.54,1.34,2.14
67,x264,sd_crew_cif_short.y4m.csv,0.62,0.24,0.32,0.42,0.22,0.35
68,x264,sintel_trailer_2k_720p24_short.y4m.csv,0.52,0.37,0.47,0.39,0.35,0.5
69,xz,ambivert.wav.tar.csv,1.4,13.08,17.11,1.55,12.43,21.08
70,xz,artificl.tar.csv,0.29,0.01,0.01,0.29,0.01,0.01
71,xz,deepfield.tar.csv,0.62,5.59,7.52,0.55,5.39,7.8
72,xz,enwik8.tar.csv,2.11,71.29,93.05,1.32,57.49,101.49
73,xz,fannie_mae_500k.tar.csv,0.95,29.96,35.74,0.55,24.7,40.08
74,xz,large.tar.csv,0.44,1.82,2.24,0.36,1.66,2.28
75,xz,misc.tar.csv,0.23,0.09,0.12,0.15,0.07,0.15
76,xz,silesia.tar.csv,0.99,61.95,78.1,0.72,53.45,82.4
77,xz,uiq-32.bin.csv,1.25,71.07,90.1,1.18,65.96,99.48
78,xz,uiq2-16.bin.csv,1.1,31.8,42.62,1.03,29.67,45.99
79,xz,uiq2-4.bin.csv,0.62,4.2,5.69,0.54,3.89,5.96
80,xz,uiq2-8.bin.csv,0.84,11.59,15.33,0.73,10.75,15.91
81,xz,vmlinux-5.10.tar.csv,0.28,1.83,2.23,0.28,1.8,2.3
82,z3,AUFNIRA_z3.637557.smt2.csv,7.65,88.11,99.32,6.62,88.56,101.94
83,z3,LRA_formula_277.smt2.csv,0.11,0.32,0.32,0.11,0.32,0.32
84,z3,QF_AUFBV_891_sqlite3.smt2.csv,5.38,10.21,13.86,4.02,9.08,15.31
85,z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.13,0.92,1.13,0.1,0.81,1.18
86,z3,QF_BV_bench_3176.smt2.csv,10.88,133.15,152.1,9.54,132.44,158.61
87,z3,QF_BV_bench_935.smt2.csv,18.8,93.15,96.85,18.72,93.27,96.96
